,topic0,topic1,topic2,topic3,number
Knarzer Beat Y,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat W,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Tchacka Beat T,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Shuffle Beat M,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Shuffle Beat L,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat U,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Mini Beat G,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Tchacka Beat U,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat Q,0.9948063727717746,0.0016858515667828836,0.0018219240946597375,0.0016858515667828836,0
Knarzer Beat V,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Hard Beat F,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat S,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Tchacka Beat R,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat T,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Hard Beat H,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Hard Beat G,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat X,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Knarzer Beat R,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Tchacka Beat Q,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
Mini Beat F,0.0017063499034098548,0.0016788386684300192,0.9949359727597301,0.0016788386684300192,2
